NGC,NCC,OCQ
0.975,0.995,0.917
0.99885,0.997,0.928
0.64,0.894,0.8523
0.823,0.978,0.98
0.91,1,0.79
0.991,1,1
1,0.98,0.875
1,0.93,0.57
0.95,0.95,0.97
0.92,0.988,0.87
0.997,0.95,0.92
0.98,0.975,0.92
0.95,0.993,0.78
0.834,0.92,1
0.586,1,0.652
0.98,0.947,0.59
0.85,1,0.25
0.96,0.972,0.74
0.982,0.93,0.91
1,1,1
0.95,0.89,0.425
0.997,0.999,0.91
1,0.98,0.96
1,0.991,0.7
1,0.996,0.966
0.984,0.997,0.945
0.94,0.98,0.76
1,0.907,0.94
0.966,0.99,0.867
0.99,0.97,0.92
1,0.98,0.95
1,0.97,0.86
0.994,1,0.959
1,0.933,0.9375
1,1,0.92
1,1,0.85
1,1,0.714
0.99,0.98,0.973
0.99,1,0.96
1,0.8214,0.9655
1,0.9639,0.9495
1,0.9872,0.9796
0.99,0.956,0.921
0.857,0.857,1
1,0.943,0.9513
0.9818,1,0.7638
0.99,0.975,0.912
1,0.988,1
0.992,0.96,0.82
1,1,0.406
0.802,0.925,0.852
0.946,1,0.925
1,0.986,0.951
1,0.976,0.883
0.99,0.976,0.995
0.995,0.776,0.887
0.998,0.997,0.997
0.993,1,0.956
0.991,0.967,0.979
0.998,0.993,0.994
1,0.993,0.934
0.979,0.979,0.989
1,0.986,0.949
1,0.993,0.914
0.998,0.987,0.951
0.973,0.964,0.849
0.96,0.94,0.98
1,0.973,0.863
0.984,0.93,0.778
0.992,0.978,0.936
0.95,0.95,0.984
1,1,1
0.985,0.993,0.745
0.972,0.972,1
0.99,0.977,0.964
1,0.997,0.947
1,0.992,0.989
0.998,0.997,0.993
0.967,1,0.953
0.994,0.997,0.903
0.948,0.992,0.936
0.9622,0.99,0.9617
0.983,0.896,0.983
0.989,0.989,0.864
0.987,0.987,0.9277
0.995,0.991,0.975
1,0.995,0.995
1,1,0.96
0.997,0.994,0.949
0.999,0.949,0.983
0.978,0.961,0.973
0.991,0.983,0.9
0.996,0.891,0.993
1,0.96,0.948
1,1,0.909
1,0.991,0.989
0.993,0.985,0.952
0.956,0.98,0.878
1,0.994,0.789
0.5,1,1
